eps1         u           sigma3        sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]         [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

4.9132      505.4878     599.6347      94.1469     704.5469     199.0721     129.1220     104.9252
4.9368      505.3647     599.6833      94.3185     704.8614     199.4513     129.3628     105.1328
4.9616      505.2805     599.7481      94.4675     705.0758     199.8277     129.5876     105.3601
4.9898      505.1802     599.6671      94.4869     705.2680     200.1979     129.7239     105.7110
5.0192      505.0539     599.7157      94.6618     705.7730     200.5734     129.9657     105.9116
5.0466      504.9406     599.6995      94.7589     705.9736     201.0007     130.1728     106.2418
5.0748      504.9535     599.7966      94.8431     706.1290     201.3503     130.3455     106.5072
5.0996      504.8434     599.7319      94.8884     706.4733     201.7918     130.5229     106.9034
5.1221      504.7333     599.6995      94.9661     707.2334     202.0985     130.6769     107.1324
5.1494      504.6265     599.7319      95.1054     707.1103     202.4612     130.8907     107.3558
5.1759      504.4937     599.7481      95.2543     707.3204     202.8979     131.1355     107.6436
5.2032      504.2541     599.6833      95.4292     707.5826     203.3382     131.3989     107.9091
5.2245      504.0890     599.7157      95.6267     707.7199     203.7022     131.6518     108.0755
5.2510      503.9627     599.6833      95.7206     708.0625     204.1257     131.8556     108.4051
5.2804      503.8364     599.6509      95.8145     708.3056     204.4822     132.0370     108.6677
5.3055      503.7328     599.7157      95.9829     708.7303     204.9392     132.3016     108.9563
5.3326      503.6130     599.6671      96.0541     708.9940     205.3810     132.4964     109.3270
5.3614      503.4997     599.7157      96.2160     709.2842     205.7846     132.7388     109.5686
5.3879      503.3669     599.7642      96.3973     709.6323     206.2946     133.0297     109.8972
5.4138      503.2439     599.6995      96.4556     709.8543     206.5975     133.1696     110.1419
5.4398      503.1241     599.7157      96.5916     710.1262     206.9989     133.3940     110.4073
5.4705      503.0043     599.6995      96.6952     710.3179     207.3201     133.5702     110.6249
5.4975      502.8747     599.7157      96.8409     710.6094     207.7088     133.7969     110.8679
5.5204      502.7906     599.7319      96.9413     710.7954     208.0567     133.9798     111.1154
5.5490      502.8974     599.6995      96.8021     710.9151     208.3058     133.9700     111.5038
5.5807      502.8942     599.7157      96.8215     711.3106     208.6042     134.0824     111.7827
5.6095      502.8488     599.6833      96.8344     712.3681     208.8361     134.1683     112.0017
5.6369      502.7808     599.7642      96.9834     712.1322     209.2478     134.4049     112.2644
5.6649      502.6610     599.6833      97.0222     712.0605     209.5484     134.5309     112.5262
5.6914      502.3470     599.7481      97.4011     712.4809     210.2117     135.0046     112.8106
5.7202      502.2336     599.7157      97.4820     712.6183     210.5109     135.1583     113.0289
5.7511      502.1235     599.6995      97.5759     712.8453     210.8836     135.3452     113.3077
5.7793      502.0523     599.7642      97.7119     713.4720     211.1542     135.5260     113.4422
5.8049      501.9616     599.6833      97.7216     713.4103     211.4486     135.6306     113.7270
5.8302      501.8580     599.7157      97.8576     713.8039     211.8908     135.8687     114.0332
5.8552      501.6540     599.6833      98.0292     714.0016     212.3476     136.1353     114.3183
5.8853      501.4889     599.6995      98.2106     714.2093     212.7657     136.3956     114.5552
5.9130      501.3853     599.7481      98.3628     714.4553     213.1574     136.6276     114.7947
5.9412      501.2752     599.6833      98.4081     714.5985     213.4625     136.7596     115.0545
5.9645      501.1619     599.7319      98.5700     715.2430     213.8480     136.9960     115.2780
5.9891      501.0647     599.7319      98.6671     715.2916     214.1880     137.1741     115.5209
6.0142      500.9644     599.7319      98.7675     715.3026     214.4256     137.3202     115.6581
6.0415      500.7895     599.6833      98.8938     715.6033     214.7911     137.5262     115.8974
6.0682      500.6568     599.7319      99.0751     715.9304     215.2963     137.8155     116.2212
6.0939      500.5337     599.7481      99.2143     716.2393     215.7185     138.0491     116.5042
6.1206      500.4074     599.7157      99.3082     716.4917     216.0519     138.2228     116.7437
6.1511      500.2941     599.6995      99.4054     716.6454     216.3837     138.3981     116.9783
