eps1         u           sigma3       sigma3'     sigma1       sigma1'      p            q
[%]         [kPa]        [kPa]        [kPa]       [kPa]        [kPa]        [kPa]        [kPa] 

4.4120      538.9315     600.7350     61.8035     679.3189     140.3875      87.9982     78.5839
4.4427      538.8667     600.7512     61.8845     679.3552     140.4884      88.0858     78.6040
4.4635      538.9315     600.7188     61.7873     679.4565     140.5250      88.0332     78.7377
4.4948      538.9477     600.7188     61.7711     679.5965     140.6488      88.0637     78.8777
4.5230      538.9639     600.7026     61.7388     679.6776     140.7137      88.0637     78.9750
4.5498      538.9153     600.6864     61.7711     679.6995     140.7842      88.1088     79.0131
4.5782      538.9800     600.6378     61.6578     679.7178     140.7377      88.0178     79.0799
4.6054      538.9639     600.6702     61.7064     679.7878     140.8240      88.0789     79.1176
4.6322      538.9800     600.7188     61.7388     679.9949     141.0148      88.1641     79.2761
4.6569      538.9800     600.7026     61.7226     680.1538     141.1738      88.2063     79.4512
4.6798      538.8991     600.6864     61.7873     680.1336     141.2345      88.2697     79.4472
4.7057      538.9315     600.6378     61.7064     680.2890     141.3576      88.2568     79.6512
4.7379      538.9477     600.6864     61.7387     680.4461     141.4984      88.3253     79.7597
4.7661      538.9800     600.6702     61.6902     680.4664     141.4864      88.2889     79.7962
4.7968      538.9477     600.5892     61.6416     680.3597     141.4120      88.2317     79.7705
4.8236      538.9477     600.6864     61.7387     680.5096     141.5619      88.3465     79.8232
4.8528      538.8829     600.6540     61.7711     680.5428     141.6599      88.4007     79.8887
4.8798      538.8829     600.7350     61.8521     680.7212     141.8383      88.5142     79.9862
4.9066      538.9962     600.6540     61.6578     680.7828     141.7866      88.3674     80.1288
4.9336      538.9477     600.6054     61.6578     680.7866     141.8389      88.3848     80.1811
4.9589      538.9153     600.6378     61.7225     680.8426     141.9273      88.4575     80.2048
4.9814      538.9639     600.6540     61.6902     680.9598     141.9960      88.4588     80.3058
5.0049      538.9639     600.6864     61.7226     681.1373     142.1735      88.5395     80.4509
5.0349      538.9153     600.6864     61.7711     681.1868     142.2715      88.6046     80.5004
5.0613      538.8020     600.6216     61.8197     681.0697     142.2677      88.6357     80.4481
5.0889      538.9315     600.6864     61.7549     681.1560     142.2246      88.5781     80.4696
5.1221      538.8991     600.6216     61.7225     681.1380     142.2389      88.5613     80.5164
5.1468      538.9962     600.6216     61.6254     681.2069     142.2107      88.4872     80.5853
5.1754      538.9477     600.6702     61.7226     681.3509     142.4032      88.6161     80.6807
5.2026      538.9315     600.6378     61.7064     681.3403     142.4088      88.6072     80.7024
5.2284      538.9153     600.6540     61.7387     681.3944     142.4791      88.6522     80.7404
5.2587      538.9477     600.5892     61.6416     681.4534     142.5057      88.5963     80.8641
5.2869      538.8829     600.6540     61.7711     681.4642     142.5812      88.7078     80.8101
5.3147      538.8667     600.5892     61.7225     681.3906     142.5239      88.6563     80.8013
5.3473      538.9153     600.6540     61.7387     681.5172     142.6020      88.6931     80.8632
5.3720      538.8667     600.6702     61.8035     681.5123     142.6456      88.7509     80.8421
5.3930      538.8505     600.6702     61.8197     681.5840     142.7335      88.7909     80.9138
5.4173      538.8667     600.6378     61.7711     681.6055     142.7387      88.7603     80.9676
5.4426      538.8667     600.7188     61.8521     681.7692     142.9025      88.8689     81.0504
5.4738      538.8667     600.6378     61.7711     681.7810     142.9142      88.8188     81.1431
5.5032      538.8667     600.6216     61.7549     681.7544     142.8877      88.7992     81.1328
5.5319      538.9153     600.6216     61.7063     681.7447     142.8294      88.7474     81.1231
5.5584      538.8667     600.6864     61.8197     681.8910     143.0243      88.8879     81.2046
5.5893      538.8343     600.7350     61.9007     681.8833     143.0489      88.9501     81.1483
5.6167      538.9153     600.6378     61.7225     681.7923     142.8770      88.7740     81.1545
5.6450      538.8667     600.6054     61.7387     681.8697     143.0030      88.8268     81.2643
5.6717      538.8991     600.6216     61.7225     681.9075     143.0084      88.8178     81.2859
5.7006      538.8505     600.6702     61.8197     682.0355     143.1849      88.9414     81.3653
5.7298      538.8829     600.6702     61.7873     682.0698     143.1868      88.9205     81.3995
5.7591      538.7858     600.6540     61.8683     682.1473     143.3615      89.0327     81.4933
5.7824      538.8020     600.6378     61.8359     682.1259     143.3239      88.9985     81.4880
5.8081      538.8667     600.6702     61.8035     682.2698     143.4031      89.0034     81.5996
5.8361      538.8020     600.6216     61.8197     682.2415     143.4396      89.0263     81.6199
5.8642      538.7534     600.6378     61.8844     682.2335     143.4801      89.0830     81.5956
5.8899      538.8343     600.5892     61.7549     682.2368     143.4025      88.9708     81.6476
5.9159      538.8181     600.6216     61.8035     682.3804     143.5622      89.0564     81.7587
5.9418      538.8343     600.6378     61.8035     682.4334     143.5991      89.0687     81.7956
5.9659      538.8181     600.5407     61.7225     682.4043     143.5862      89.0104     81.8637
5.9931      538.8020     600.6540     61.8521     682.5386     143.7366      89.1469     81.8845
6.0178      538.7858     600.6702     61.8845     682.6519     143.8661      89.2117     81.9817
6.0401      538.7534     600.5730     61.8197     682.5650     143.8116      89.1503     81.9919
6.0730      538.7858     600.5730     61.7873     682.5807     143.7949      89.1232     82.0077
6.1023      538.8181     600.6216     61.8035     682.6186     143.8004      89.1358     81.9969
6.1297      538.7048     600.5569     61.8520     682.6484     143.9436      89.2159     82.0916
6.1571      538.7210     600.6378     61.9168     682.7499     144.0289      89.2875     82.1120
6.1866      538.7696     600.5569     61.7873     682.6579     143.8884      89.1543     82.1011
6.2140      538.7210     600.5407     61.8196     682.6622     143.9412      89.1935     82.1215
6.2383      538.6401     600.4597     61.8196     682.6931     144.0531      89.2308     82.2334
6.2648      538.8020     600.5730     61.7711     682.9016     144.0996      89.2139     82.3285
6.2960      538.7372     600.5730     61.8358     682.9630     144.2258      89.2992     82.3899
6.3231      538.7210     600.5892     61.8682     682.9849     144.2638      89.3334     82.3956
