eps1         u           sigma3       sigma3'      sigma1        sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]         [kPa]        [kPa]         [kPa] 

4.6946      722.7582     899.0733     176.3151     1070.3182     347.5600     233.3968     171.2448
4.7245      722.9504     899.0733     176.1229     1070.4642     347.5138     233.2532     171.3909
4.7533      723.2445     899.1071     175.8626     1070.7510     347.5066     233.0773     171.6439
4.7775      723.4254     899.1071     175.6817     1070.8756     347.4502     232.9379     171.7685
4.8025      723.6742     899.0733     175.3991     1071.0909     347.4167     232.7383     172.0176
4.8297      723.9569     899.0733     175.1164     1071.3045     347.3476     232.5268     172.2312
4.8575      724.1831     899.0395     174.8564     1071.4935     347.3104     232.3411     172.4539
4.8836      724.3867     899.0733     174.6866     1071.7110     347.3243     232.2325     172.6376
4.9149      724.5563     899.0395     174.4832     1071.8406     347.2843     232.0836     172.8011
4.9393      724.8051     899.0057     174.2006     1071.9514     347.1462     231.8492     172.9456
4.9637      725.0313     899.0395     174.0082     1072.1506     347.1193     231.7119     173.1110
4.9909      725.2349     899.0395     173.8047     1072.3528     347.1180     231.5758     173.3133
5.0197      725.4610     899.0395     173.5785     1072.5204     347.0593     231.4054     173.4808
5.0477      725.6872     899.0395     173.3523     1072.7732     347.0860     231.2635     173.7336
5.0730      725.8569     899.0057     173.1489     1072.9761     347.1193     231.1390     173.9704
5.0984      726.0604     899.0057     172.9453     1073.1704     347.1100     231.0002     174.1647
5.1256      726.2753     899.0057     172.7305     1073.2986     347.0233     230.8281     174.2929
5.1574      726.4336     899.0057     172.5721     1073.4391     347.0055     230.7166     174.4333
5.1905      726.6146     899.0057     172.3912     1073.5875     346.9730     230.5851     174.5818
5.2149      726.8407     899.0057     172.1650     1073.7623     346.9216     230.4172     174.7566
5.2422      727.0330     898.9720     171.9390     1073.8873     346.8543     230.2441     174.9153
5.2683      727.1800     899.0057     171.8257     1074.0716     346.8916     230.1810     175.0659
5.2948      727.4175     898.9720     171.5545     1074.2083     346.7908     229.9666     175.2364
5.3171      727.6324     898.9720     171.3396     1074.3866     346.7542     229.8111     175.4147
5.3424      727.8359     899.0057     171.1698     1074.6766     346.8407     229.7268     175.6709
5.3723      728.0508     898.9720     170.9212     1074.8067     346.7559     229.5327     175.8347
5.3984      728.2204     898.9720     170.7515     1074.9775     346.7571     229.4200     176.0056
5.4264      728.3561     898.9720     170.6158     1075.1133     346.7572     229.3296     176.1414
5.4533      728.5032     899.0057     170.5026     1075.2848     346.7816     229.2623     176.2791
5.4813      728.6049     898.9720     170.3670     1075.4283     346.8234     229.1858     176.4564
5.5106      728.7293     898.9720     170.2426     1075.5197     346.7904     229.0919     176.5478
5.5358      728.9668     898.9720     170.0051     1075.6811     346.7143     228.9082     176.7091
5.5619      729.0686     898.9382     169.8696     1075.8174     346.7488     228.8293     176.8793
5.5950      729.3174     898.9382     169.6208     1076.0264     346.7090     228.6502     177.0882
5.6194      729.4418     898.9382     169.4964     1076.1994     346.7576     228.5834     177.2612
5.6474      729.6228     898.9044     169.2816     1076.3838     346.7611     228.4414     177.4794
5.6739      729.7472     898.9382     169.1910     1076.4927     346.7455     228.3758     177.5545
5.6974      729.8602     898.9382     169.0779     1076.6774     346.8171     228.3243     177.7392
5.7257      730.0525     898.9720     168.9195     1076.8349     346.7824     228.2071     177.8629
5.7524      730.1882     898.9720     168.7838     1076.9613     346.7731     228.1135     177.9894
5.7778      730.3691     898.9382     168.5690     1077.0563     346.6871     227.9417     178.1181
5.8043      730.5727     898.9044     168.3317     1077.1907     346.6180     227.7604     178.2863
5.8321      730.7084     898.9044     168.1960     1077.4084     346.7000     227.6973     178.5040
5.8601      730.8667     898.9382     168.0714     1077.5657     346.6990     227.6139     178.6276
5.8890      731.0025     898.9044     167.9019     1077.7993     346.7968     227.5335     178.8949
5.9163      731.1382     898.9044     167.7662     1077.8615     346.7233     227.4186     178.9571
5.9471      731.2399     898.9044     167.6644     1078.0210     346.7811     227.3700     179.1166
5.9749      731.3870     898.9382     167.5512     1078.1264     346.7395     227.2806     179.1883
6.0044      731.5227     898.9382     167.4155     1078.2259     346.7032     227.1781     179.2877
6.0275      731.5905     898.9382     167.3476     1078.3477     346.7572     227.1508     179.4096
6.0544      731.8393     898.9382     167.0988     1078.5141     346.6748     226.9575     179.5759
6.0795      731.9298     898.9044     166.9746     1078.6605     346.7307     226.8933     179.7561
6.1102      732.0768     898.9044     166.8276     1078.8607     346.7839     226.8130     179.9564
6.1384      732.2578     898.8706     166.6128     1079.1148     346.8570     226.6942     180.2442
6.1666      732.3708     898.8706     166.4997     1079.2056     346.8348     226.6114     180.3350
6.1957      732.4613     898.8706     166.4093     1079.3258     346.8645     226.5610     180.4552
6.2248      732.5857     898.8706     166.2849     1079.4459     346.8602     226.4766     180.5753
6.2498      732.6649     898.8368     166.1719     1079.5295     346.8646     226.4028     180.6927
6.2799      732.8345     898.8706     166.0361     1079.7017     346.8672     226.3131     180.8312
6.3079      732.9250     898.8368     165.9118     1079.7587     346.8337     226.2191     180.9219
6.3344      733.0833     898.9044     165.8211     1079.9405     346.8572     226.1665     181.0362
6.3637      733.1964     898.8706     165.6742     1080.0465     346.8501     226.0662     181.1760
6.3915      733.3887     898.9044     165.5157     1080.3469     346.9582     225.9966     181.4425
6.4178      733.4791     898.9044     165.4252     1080.4302     346.9511     225.9339     181.5258
6.4464      733.6261     898.8706     165.2444     1080.5990     346.9729     225.8206     181.7285
6.4748      733.7845     898.9044     165.1199     1080.7841     346.9996     225.7465     181.8797
6.4978      733.8862     898.9044     165.0181     1080.9150     347.0287     225.6883     182.0106
6.5262      733.9993     898.9382     164.9388     1081.0689     347.0695     225.6491     182.1307
6.5574      734.1464     898.8706     164.7242     1081.0540     346.9076     225.4520     182.1834
6.5837      734.1690     898.8368     164.6678     1081.1030     346.9340     225.4232     182.2662
6.6089      734.3838     898.8706     164.4867     1081.3349     346.9511     225.3082     182.4643
6.6380      734.5761     898.8030     164.2269     1081.4682     346.8921     225.1153     182.6652
6.6645      734.6326     898.8030     164.1704     1081.6018     346.9691     225.1033     182.7988
6.6921      734.7005     898.8030     164.1025     1081.7538     347.0533     225.0861     182.9508
6.7207      734.8588     898.8030     163.9442     1081.8521     346.9932     224.9605     183.0491
6.7474      734.9380     898.7692     163.8312     1081.9408     347.0028     224.8884     183.1716
6.7765      734.9832     898.7692     163.7860     1081.9969     347.0137     224.8619     183.2277
6.8013      735.1529     898.7692     163.6163     1082.1539     347.0010     224.7446     183.3847
6.8272      735.2320     898.7692     163.5372     1082.2470     347.0149     224.6964     183.4778
6.8541      735.3225     898.7692     163.4467     1082.3173     346.9948     224.6294     183.5481
6.8817      735.4469     898.8030     163.3561     1082.6051     347.1582     224.6235     183.8021
6.9078      735.6165     898.7692     163.1527     1082.7459     347.1294     224.4782     183.9767
6.9360      735.7748     898.7692     162.9944     1082.9470     347.1721     224.3869     184.1778
6.9695      735.8088     898.7692     162.9604     1083.0449     347.2362     224.3857     184.2757
6.9992      735.8314     898.8368     163.0054     1083.1871     347.3558     224.4555     184.3504
7.0257      735.9445     898.8368     162.8923     1083.2988     347.3543     224.3796     184.4620
7.0529      736.1028     898.8368     162.7340     1083.3988     347.2960     224.2547     184.5620
7.0785      736.1707     898.8030     162.6323     1083.4782     347.3075     224.1907     184.6752
7.1033      736.2611     898.8030     162.5419     1083.5519     347.2908     224.1248     184.7489
7.1277      736.3629     898.8030     162.4401     1083.6469     347.2840     224.0547     184.8439
7.1519      736.4534     898.8030     162.3496     1083.8550     347.4016     224.0336     185.0520
7.1799      736.6230     898.7692     162.1462     1084.0523     347.4293     223.9072     185.2831
7.2088      736.7022     898.7692     162.0670     1084.1996     347.4974     223.8771     185.4304
7.2361      736.7700     898.7692     161.9992     1084.3599     347.5899     223.8627     185.5907
7.2599      736.8153     898.8030     161.9877     1084.4588     347.6435     223.8730     185.6558
7.2885      736.8718     898.7692     161.8974     1084.5007     347.6289     223.8079     185.7315
7.3184      736.9623     898.7692     161.8069     1084.6249     347.6627     223.7588     185.8557
7.3473      737.0301     898.7354     161.7053     1084.6356     347.6054     223.6720     185.9002
7.3755      737.1659     898.7692     161.6033     1084.8070     347.6412     223.6160     186.0378
7.4016      737.2903     898.8030     161.5127     1085.0031     347.7128     223.5794     186.2001
7.4300      737.4260     898.7692     161.3432     1085.2084     347.7825     223.4897     186.4392
7.4580      737.4486     898.7354     161.2868     1085.2817     347.8331     223.4689     186.5463
7.4877      737.5617     898.7354     161.1737     1085.4363     347.8746     223.4074     186.7009
