eps1         u           sigma3       sigma3'      sigma1       sigma1'      p             q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]         [kPa] 

5.2405      612.4879     699.9814      87.4935     795.6388     183.1509     119.3793      95.6575
5.2694      612.6336     699.9490      87.3154     795.6934     183.0598     119.2302      95.7444
5.2961      612.6984     699.9490      87.2506     795.7360     183.0376     119.1796      95.7870
5.3225      612.7146     699.9328      87.2182     795.7860     183.0714     119.1693      95.8532
5.3478      612.9250     699.9166      86.9916     795.8293     182.9042     118.9624      95.9127
5.3717      612.9736     699.9814      87.0078     796.0168     183.0432     119.0196      96.0354
5.3928      613.1031     699.9490      86.8459     796.0943     182.9912     118.8943      96.1453
5.4190      613.1517     699.9166      86.7649     796.1126     182.9609     118.8303      96.1960
5.4489      613.3460     699.9814      86.6354     796.2784     182.9324     118.7344      96.2970
5.4738      613.3784     699.9166      86.5382     796.3350     182.9566     118.6777      96.4184
5.5053      613.4755     699.9166      86.4411     796.3800     182.9045     118.5956      96.4634
5.5323      613.5726     699.9814      86.4088     796.4636     182.8910     118.5695      96.4822
5.5595      613.6698     699.9490      86.2792     796.5192     182.8494     118.4693      96.5702
5.5858      613.7345     699.9490      86.2145     796.6002     182.8657     118.4315      96.6512
5.6093      613.8479     699.9490      86.1011     796.7305     182.8826     118.3616      96.7815
5.6404      613.9612     699.9328      85.9716     796.7903     182.8291     118.2575      96.8575
5.6718      614.0583     699.9166      85.8583     796.8961     182.8378     118.1848      96.9795
5.6981      614.1069     699.9166      85.8097     796.9461     182.8392     118.1529      97.0295
5.7265      614.1878     699.8842      85.6964     796.9923     182.8044     118.0657      97.1081
5.7598      614.3335     699.9490      85.6154     797.1692     182.8356     118.0222      97.2202
5.7799      614.3659     699.9004      85.5345     797.1306     182.7647     117.9446      97.2302
5.8056      614.4793     699.8518      85.3726     797.1709     182.6917     117.8123      97.3191
5.8278      614.5278     699.9166      85.3888     797.2512     182.7234     117.8337      97.3346
5.8558      614.6088     699.8842      85.2754     797.3207     182.7119     117.7543      97.4365
5.8861      614.6573     699.9490      85.2917     797.4695     182.8121     117.7985      97.5205
5.9185      614.8354     699.9328      85.0974     797.5658     182.7304     117.6417      97.6330
5.9430      614.8516     699.9004      85.0488     797.6156     182.7640     117.6205      97.7152
5.9731      614.9002     699.9814      85.0812     797.7421     182.8419     117.6681      97.7607
6.0055      615.0135     699.8842      84.8707     797.7726     182.7591     117.5002      97.8884
6.0345      615.0783     700.0138      84.9355     797.9487     182.8704     117.5805      97.9349
6.0638      615.2078     699.8842      84.6764     797.8500     182.6422     117.3317      97.9658
6.0910      615.2564     699.9166      84.6602     797.9385     182.6821     117.3342      98.0219
6.1204      615.2887     699.9004      84.6117     798.0603     182.7715     117.3316      98.1599
6.1485      615.4992     699.8842      84.3850     798.0608     182.5616     117.1105      98.1766
6.1725      615.4830     699.8518      84.3688     798.1106     182.6276     117.1217      98.2587
6.1981      615.5154     699.9490      84.4336     798.2960     182.7806     117.2159      98.3470
6.2242      615.7097     699.9328      84.2231     798.3290     182.6193     117.0219      98.3962
6.2514      615.7582     699.9004      84.1422     798.3983     182.6401     116.9748      98.4979
6.2831      615.8392     699.9004      84.0612     798.4798     182.6406     116.9210      98.5794
6.3093      615.9039     699.8680      83.9641     798.5118     182.6078     116.8453      98.6438
6.3365      615.9363     699.8680      83.9317     798.5291     182.5928     116.8187      98.6611
6.3616      615.9687     699.8680      83.8993     798.6098     182.6411     116.8132      98.7417
6.3863      616.0658     699.9004      83.8346     798.6926     182.6268     116.7653      98.7922
6.4124      616.1468     699.9976      83.8508     798.8998     182.7530     116.8182      98.9023
6.4346      616.2277     699.8842      83.6565     798.8318     182.6041     116.6390      98.9476
6.4631      616.2763     699.9004      83.6241     798.9555     182.6792     116.6425      99.0551
6.4936      616.3411     699.8680      83.5269     798.9901     182.6491     116.5677      99.1221
6.5241      616.4382     699.9004      83.4622     799.0895     182.6513     116.5252      99.1891
6.5513      616.5192     699.8842      83.3651     799.1132     182.5940     116.4414      99.2290
6.5818      616.5353     699.8680      83.3327     799.1638     182.6285     116.4313      99.2958
6.6104      616.6163     699.8518      83.2355     799.1630     182.5467     116.3392      99.3112
6.6351      616.6649     699.8518      83.1870     799.2435     182.5787     116.3175      99.3917
6.6608      616.7620     699.8518      83.0898     799.3000     182.5380     116.2392      99.4482
6.6887      616.8268     699.8680      83.0413     799.4162     182.5895     116.2240      99.5482
6.7160      616.8753     699.8518      82.9765     799.4851     182.6098     116.1876      99.6333
6.7439      616.9887     699.9004      82.9117     799.5802     182.5916     116.1384      99.6798
6.7708      617.0372     699.9004      82.8632     799.6504     182.6132     116.1132      99.7500
6.8036      617.1667     699.8842      82.7175     799.7286     182.5619     115.9989      99.8444
6.8358      617.1829     699.8518      82.6689     799.7379     182.5549     115.9642      99.8861
6.8636      617.2315     699.8518      82.6203     799.7766     182.5450     115.9286      99.9247
6.8920      617.3125     699.8842      82.5718     799.8545     182.5421     115.8952      99.9703
6.9188      617.3448     699.8194      82.4746     799.8371     182.4922     115.8138     100.0176
6.9433      617.3772     699.9004      82.5232     799.9906     182.6134     115.8866     100.0902
6.9696      617.5067     699.8032      82.2965     799.9639     182.4571     115.6834     100.1606
6.9991      617.5391     699.8842      82.3451     800.1043     182.5652     115.7518     100.2201
7.0309      617.7010     699.8680      82.1670     800.2134     182.5124     115.6155     100.3454
7.0529      617.6362     699.8356      82.1994     800.2257     182.5894     115.6627     100.3900
7.0813      617.7658     699.8356      82.0699     800.2937     182.5279     115.5559     100.4580
7.1103      617.7658     699.8842      82.1184     800.3716     182.6058     115.6142     100.4873
7.1346      617.8305     699.8518      82.0213     800.3432     182.5127     115.5184     100.4914
7.1599      617.9277     699.8680      81.9404     800.4686     182.5409     115.4739     100.6006
7.1900      617.9762     699.8842      81.9080     800.5280     182.5518     115.4559     100.6438
7.2191      617.9924     699.8356      81.8432     800.5541     182.5617     115.4160     100.7184
7.2494      618.0734     699.8842      81.8108     800.6304     182.5570     115.3929     100.7462
7.2749      618.1381     699.9004      81.7623     800.7704     182.6323     115.3856     100.8700
7.3025      618.1867     699.9166      81.7299     800.8399     182.6532     115.3710     100.9233
7.3305      618.2676     699.8356      81.5680     800.8041     182.5365     115.2242     100.9685
7.3594      618.3324     699.8032      81.4708     800.8160     182.4836     115.1418     101.0128
7.3841      618.3972     699.8356      81.4385     800.8745     182.4773     115.1181     101.0388
7.4119      618.3972     699.8680      81.4709     800.9673     182.5701     115.1706     101.0993
7.4397      618.4134     699.9004      81.4871     801.0450     182.6316     115.2019     101.1446
7.4675      618.5267     699.8356      81.3089     801.0632     182.5365     115.0515     101.2276
7.4914      618.5429     699.7870      81.2442     801.1095     182.5666     115.0183     101.3224
7.5229      618.6562     699.8680      81.2118     801.3070     182.6508     115.0248     101.4390
7.5474      618.7048     699.8680      81.1632     801.3028     182.5981     114.9749     101.4348
7.5752      618.7533     699.8032      81.0499     801.3359     182.5826     114.8941     101.5327
7.6018      618.8181     699.8356      81.0175     801.4222     182.6041     114.8797     101.5866
7.6306      618.8019     699.8356      81.0337     801.4433     182.6414     114.9029     101.6077
7.6582      618.8829     699.8680      80.9852     801.5208     182.6379     114.8694     101.6528
7.6846      618.8829     699.8194      80.9366     801.4884     182.6056     114.8262     101.6690
7.7099      619.0286     699.8518      80.8233     801.5759     182.5473     114.7313     101.7241
7.7375      619.0124     699.8518      80.8395     801.6586     182.6462     114.7750     101.8067
7.7645      619.0609     699.8032      80.7423     801.7008     182.6399     114.7082     101.8976
7.7919      619.1257     699.8518      80.7261     801.7794     182.6537     114.7020     101.9276
7.8197      619.1743     699.8356      80.6614     801.8379     182.6637     114.6621     102.0023
7.8477      619.2228     699.8680      80.6452     801.9297     182.7068     114.6657     102.0617
7.8761      619.2714     699.8356      80.5642     801.9335     182.6621     114.5969     102.0979
7.9029      619.2552     699.8032      80.5480     801.9467     182.6915     114.5959     102.1435
7.9315      619.3847     699.8032      80.4185     801.9827     182.5979     114.4783     102.1794
7.9587      619.3524     699.8356      80.4833     802.0977     182.7454     114.5706     102.2621
7.9867      619.4657     699.8356      80.3699     802.0816     182.6159     114.4519     102.2460
8.0152      619.4819     699.8518      80.3699     802.1940     182.7121     114.4840     102.3422
8.0407      619.5304     699.8032      80.2728     802.1997     182.6692     114.4049     102.3964
8.0660      619.6114     699.8842      80.2728     802.3952     182.7838     114.4431     102.5110
8.0936      619.6114     699.8518      80.2404     802.3470     182.7357     114.4055     102.4952
8.1231      619.6438     699.8842      80.2404     802.4292     182.7854     114.4221     102.5449
8.1453      619.6923     699.8356      80.1433     802.4759     182.7835     114.3567     102.6403
8.1729      619.7085     699.7546      80.0461     802.4091     182.7006     114.2643     102.6544
8.1988      619.7409     699.7870      80.0461     802.4800     182.7391     114.2771     102.6929
8.2254      619.8704     699.8356      79.9652     802.5588     182.6884     114.2063     102.7232
8.2526      619.8866     699.8032      79.9166     802.6010     182.7144     114.1825     102.7977
8.2781      619.9028     699.8032      79.9004     802.6923     182.7895     114.1968     102.8891
8.3055      619.9838     699.8032      79.8195     802.7440     182.7602     114.1331     102.9408
8.3319      619.9838     699.8356      79.8519     802.8292     182.8454     114.1831     102.9936
8.3607      620.0323     699.7385      79.7061     802.7595     182.7272     114.0465     103.0211
8.3869      620.0809     699.8032      79.7223     802.8997     182.8188     114.0878     103.0965
8.4190      620.1456     699.8032      79.6576     802.9533     182.8077     114.0409     103.1501
8.4489      620.1780     699.8518      79.6738     803.0356     182.8575     114.0684     103.1837
8.4763      620.2104     699.8194      79.6090     802.9499     182.7394     113.9858     103.1304
8.4993      620.2266     699.7708      79.5442     802.9800     182.7534     113.9473     103.2091
8.5222      620.2590     699.8680      79.6090     803.0963     182.8373     114.0185     103.2282
8.5485      620.3075     699.8356      79.5281     803.1836     182.8760     113.9774     103.3480
8.5805      620.3885     699.8194      79.4309     803.2284     182.8399     113.9006     103.4090
8.6085      620.4047     699.7870      79.3824     803.2091     182.8044     113.8564     103.4221
8.6396      620.5018     699.7870      79.2852     803.2933     182.7915     113.7873     103.5063
8.6714      620.4209     699.7708      79.3500     803.3009     182.8800     113.8600     103.5300
8.7008      620.5828     699.8518      79.2690     803.4380     182.8552     113.7978     103.5861
8.7280      620.5666     699.7708      79.2043     803.3709     182.8043     113.7376     103.6000
8.7525      620.6152     699.7223      79.1071     803.3765     182.7614     113.6585     103.6543
8.7766      620.6475     699.7546      79.1071     803.4039     182.7564     113.6569     103.6493
8.8003      620.7123     699.7708      79.0586     803.4976     182.7853     113.6341     103.7267
8.8324      620.7447     699.6899      78.9452     803.5067     182.7620     113.5508     103.8168
8.8631      620.7609     699.7223      78.9614     803.5562     182.7953     113.5727     103.8339
8.8882      620.8256     699.8032      78.9776     803.7128     182.8872     113.6141     103.9096
8.9150      620.7932     699.7870      78.9938     803.7256     182.9324     113.6400     103.9386
8.9408      620.8580     699.7385      78.8805     803.7370     182.8790     113.5466     103.9985
8.9663      620.8904     699.8356      78.9452     803.8496     182.9592     113.6166     104.0140
8.9914      620.8904     699.7546      78.8643     803.8217     182.9314     113.5533     104.0671
9.0157      621.0037     699.7546      78.7509     803.8460     182.8423     113.4481     104.0914
9.0402      621.0361     699.7546      78.7186     803.9221     182.8860     113.4410     104.1674
9.0665      621.1170     699.7870      78.6700     804.0357     182.9187     113.4196     104.2487
9.0935      621.1170     699.7385      78.6214     804.0453     182.9283     113.3904     104.3069
9.1230      621.1332     699.7870      78.6538     804.1195     182.9863     113.4313     104.3325
9.1508      621.1494     699.7385      78.5890     804.1281     182.9787     113.3856     104.3896
9.1796      621.2627     699.7546      78.4919     804.1928     182.9300     113.3046     104.4381
9.2047      621.2142     699.7546      78.5405     804.1862     182.9720     113.3510     104.4315
9.2290      621.2789     699.7870      78.5081     804.2796     183.0007     113.3390     104.4926
9.2512      621.2951     699.7385      78.4433     804.2500     182.9549     113.2805     104.5115
9.2815      621.3275     699.8032      78.4757     804.3466     183.0191     113.3235     104.5433
9.3075      621.3437     699.7708      78.4272     804.3806     183.0369     113.2971     104.6098
